<<<<<<< HEAD
feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,Class
-0.802010406,0.35658627,1.155872472,0.198932539,0.342417324,-0.017517652,0.335519328,0.491057362,0.025615521,0.598290515,Chlamydomonas_Reinhardtii
-0.919156366,0.51460791,1.554848406,0.450115021,0.550584101,-0.009582479,0.386816848,0.539560648,0.044569,0.532281851,Chlamydomonas_Reinhardtii
-0.544243266,0.462082407,1.186684475,0.177059907,0.203991701,-0.133312396,0.190834014,0.232749166,-0.123628222,0.579979387,Chlamydomonas_Reinhardtii
-0.833464135,0.405550722,2.702002975,1.347598497,1.517450097,0.080055584,0.343411254,0.360963278,-0.072966408,0.121610502,Chlamydomonas_Reinhardtii
-2.004693578,-0.372984062,2.711483591,1.476717582,2.036282013,0.34926367,1.219415064,1.580877312,0.555240084,0.366300335,Chlamydomonas_Reinhardtii
-2.051950887,-0.493169535,2.871864017,1.727194495,2.184217794,0.371893607,1.237391118,1.644044381,0.579915368,0.296452242,Chlamydomonas_Reinhardtii
-2.086396555,-0.625818686,2.94375869,1.693327194,2.224371792,0.425676445,1.32902515,1.710783399,0.606617124,0.251412773,Chlamydomonas_Reinhardtii
-1.98497746,-0.557713585,2.881344633,1.559974696,2.121873429,0.382767733,1.247036806,1.594977104,0.568948575,0.274301684,Chlamydomonas_Reinhardtii
-2.012902234,-0.57551884,3.277950413,2.055989542,2.678745975,0.39481744,1.225991669,1.554933694,0.561557911,0.119838458,Chlamydomonas_Reinhardtii
-2.254712361,-0.912483295,3.89340042,2.598571926,3.323323305,0.526776425,1.289565519,1.759850676,0.658590185,0.009528678,Chlamydomonas_Reinhardtii
-1.911636572,-0.704606941,3.093078396,2.397484827,3.020054955,0.423913073,1.096651767,1.513010311,0.495757155,0.026510773,Chlamydomonas_Reinhardtii
-2.087777451,-1.014863513,1.682046675,0.711881035,1.561830831,0.210838988,1.260628457,2.118173399,1.03158034,0.201500182,Chlamydomonas_Reinhardtii
-1.749764945,-0.434857324,2.705953232,1.924753751,2.633308557,0.274320371,1.012032781,1.373516366,0.452366801,0.117771072,Chlamydomonas_Reinhardtii
-1.796024941,-0.386338004,2.797599189,2.019299966,2.592097875,0.313114549,1.0111559,1.3915641,0.446287383,0.133719474,Chlamydomonas_Reinhardtii
-0.638911317,0.379733102,2.571644501,1.336309396,1.48257952,0.062127971,0.228978324,0.155482304,-0.135548649,0.073765297,Chlamydomonas_Reinhardtii
-2.349763994,-0.884440018,3.06621665,2.015066553,2.953483854,0.469760738,1.476341107,2.058202282,0.87768763,-0.028422612,Chlamydomonas_Reinhardtii
-2.340097726,-0.83324991,3.103349064,1.93674842,2.930236802,0.503852592,1.392599001,2.037334589,0.823688096,0.043049856,Chlamydomonas_Reinhardtii
-2.140558341,-1.051364286,3.275580259,1.908525669,2.45578562,0.434787199,1.332094233,1.870017053,0.756099276,0.041573152,Chlamydomonas_Reinhardtii
-2.38490011,-0.875982522,3.134951118,2.302938611,2.921783329,0.520604624,1.489494317,2.027370736,0.883647843,-0.045404706,Chlamydomonas_Reinhardtii
-2.239675944,-0.921831054,3.242398102,2.11455175,2.998921272,0.41039389,1.386460836,1.94220799,0.809383584,-0.052197544,Chlamydomonas_Reinhardtii
-2.168866697,-0.627154081,2.865543606,1.924048182,2.695652921,0.414214529,1.25273653,1.851405328,0.715808234,0.096801877,Chlamydomonas_Reinhardtii
-2.196024306,-0.809212815,3.150752145,1.73566132,2.684029396,0.446836906,1.279042951,1.945403943,0.803542575,-0.010554495,Chlamydomonas_Reinhardtii
-2.034766411,-0.765144808,2.65222974,1.737072458,2.42514178,0.381004361,1.146633967,1.730335111,0.70174213,0.16620696,Chlamydomonas_Reinhardtii
-1.739101364,-0.141070613,3.845207287,2.906905479,3.122553317,0.454184288,1.053246173,1.103740339,0.327440728,-0.224676557,Chlamydomonas_Reinhardtii
-2.026634471,-0.465571389,4.519911145,3.234289388,3.733316755,0.568803451,1.233883595,1.372764377,0.439254332,-0.311802086,Chlamydomonas_Reinhardtii
-0.53304267,0.562682099,2.241403035,1.21918498,1.166630959,0.04037972,0.207056306,0.075207487,-0.188952161,0.087203302,Chlamydomonas_Reinhardtii
-1.986281639,-0.43663785,4.410094006,3.345769254,3.678369179,0.52707032,1.086567639,1.364116504,0.458803832,-0.341040823,Chlamydomonas_Reinhardtii
-1.458396017,-0.270603845,3.025924031,2.359384113,2.75377055,0.333981115,0.800704534,0.969322318,0.300977381,-0.11894456,Chlamydomonas_Reinhardtii
