<<<<<<< HEAD
Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Eccentricity,Convexity,FeretDiameter,Area,Perimeter,Solidity,Extent,AspectRatio,Circularity,contrast,dissimilarity,homogeneity,energy,correlation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,Class
-0.304334902,-0.513328882,-0.231920523,-0.147025922,-0.039106123,-0.081033336,0.027407175,0.36930629,-0.454092648,-0.481861978,-0.204765527,-0.485645544,-0.454092648,-0.443803846,0.702145368,-0.457091099,2.010960754,2.010960754,-2.010960754,-2.000288763,-1.528249841,-0.802010406,0.35658627,1.155872472,0.198932539,0.342417324,-0.017517652,0.335519328,0.491057362,0.025615521,0.598290515,Chlamydomonas_Reinhardtii
-0.337190984,-0.449177532,-0.321130584,-0.268212195,-0.040664247,-0.106228208,0.025913047,0.26625598,-0.30144826,-0.464802717,-0.104446185,-0.514763436,-0.30144826,-0.252233449,0.810043308,-0.293309808,2.14906202,2.14906202,-2.14906202,-2.086704836,-1.688275377,-0.919156366,0.51460791,1.554848406,0.450115021,0.550584101,-0.009582479,0.386816848,0.539560648,0.044569,0.532281851,Chlamydomonas_Reinhardtii
-0.381580159,-0.536404633,-0.281813583,-0.234585926,-0.040553136,-0.103080666,0.010863787,0.40675708,-0.511507468,-0.628711435,-0.214459978,-0.605914914,-0.511507468,-0.565612353,0.242886484,-0.577404301,1.595757008,1.595757008,-1.595757008,-1.644083596,-1.188176819,-0.544243266,0.462082407,1.186684475,0.177059907,0.203991701,-0.133312396,0.190834014,0.232749166,-0.123628222,0.579979387,Chlamydomonas_Reinhardtii
-0.151674712,-0.441155996,-0.18335252,-0.094044613,-0.036786981,-0.069441941,0.023492917,0.139206837,-0.732842333,-0.524774145,-0.198693332,-0.441185128,-0.732842333,-0.648336002,0.017557505,-0.689221328,1.195197887,1.195197887,-1.195197887,-1.33374345,-0.767585217,-0.833464135,0.405550722,2.702002975,1.347598497,1.517450097,0.080055584,0.343411254,0.360963278,-0.072966408,0.121610502,Chlamydomonas_Reinhardtii
-0.205586086,-0.55146378,-0.313788398,-0.272725515,-0.04067185,-0.107468467,0.026593932,-0.128343406,-0.477705443,-0.51357438,-0.364392431,-0.513006185,-0.477705443,-0.344613692,0.076347542,-0.399782467,2.906328202,2.906328202,-2.906328202,-2.251926446,-3.053088478,-2.004693578,-0.372984062,2.711483591,1.476717582,2.036282013,0.34926367,1.219415064,1.580877312,0.555240084,0.366300335,Chlamydomonas_Reinhardtii
-0.213648079,-0.563533201,-0.329356295,-0.26459836,-0.040651028,-0.10620285,0.027887117,-0.139305779,-0.365417729,-0.529097655,-0.482517494,-0.533498813,-0.365417729,-0.310706946,-0.318992456,-0.316493812,2.934717502,2.934717502,-2.934717502,-2.277755765,-3.065465637,-2.051950887,-0.493169535,2.871864017,1.727194495,2.184217794,0.371893607,1.237391118,1.644044381,0.579915368,0.296452242,Chlamydomonas_Reinhardtii
-0.209601098,-0.504686968,-0.278689995,-0.206656974,-0.040218476,-0.09002168,0.027472509,-0.28835371,0.025913219,-0.504098108,-0.395295128,-0.523341659,0.025913219,-0.024760569,-0.340129727,0.025003761,3.176476531,3.176476531,-3.176476531,-2.317582525,-3.520545454,-2.086396555,-0.625818686,2.94375869,1.693327194,2.224371792,0.425676445,1.32902515,1.710783399,0.606617124,0.251412773,Chlamydomonas_Reinhardtii
-0.292242926,-0.553377615,-0.327788477,-0.258809634,-0.040617541,-0.103542285,0.028064059,-0.417224149,-0.069921457,-0.52096834,-0.466128095,-0.487071984,-0.069921457,-0.072818375,-0.539452317,-0.018586308,3.130742758,3.130742758,-3.130742758,-2.328498247,-3.39725289,-1.98497746,-0.557713585,2.881344633,1.559974696,2.121873429,0.382767733,1.247036806,1.594977104,0.568948575,0.274301684,Chlamydomonas_Reinhardtii
-0.159755215,-0.457103513,-0.29928776,-0.222580493,-0.040242128,-0.096346698,0.0313481,-0.223026536,-0.065947172,-0.542809945,-0.501597879,-0.540778503,-0.065947172,-0.140879282,-0.225967332,-0.06200984,2.881620511,2.881620511,-2.881620511,-2.313568494,-2.881475654,-2.012902234,-0.57551884,3.277950413,2.055989542,2.678745975,0.39481744,1.225991669,1.554933694,0.561557911,0.119838458,Chlamydomonas_Reinhardtii
0.070683103,-0.422081748,-0.093560705,0.023200952,-0.025351976,0.029566617,0.023289685,-0.318774417,0.010210348,-0.598425644,-0.53990175,-0.59504153,0.010210348,-0.165391771,-0.149399873,-0.060001498,3.105216932,3.105216932,-3.105216932,-2.347624322,-3.30330424,-2.254712361,-0.912483295,3.89340042,2.598571926,3.323323305,0.526776425,1.289565519,1.759850676,0.658590185,0.009528678,Chlamydomonas_Reinhardtii
0.440233283,-0.384177189,-0.293386713,-0.244105729,-0.040653754,-0.105481239,0.025268116,-0.414522298,-0.103378834,-0.53063551,-0.501946703,-0.501709869,-0.103378834,-0.15391919,-0.353516999,-0.113538653,2.853803905,2.853803905,-2.853803905,-2.319946437,-2.809551826,-1.911636572,-0.704606941,3.093078396,2.397484827,3.020054955,0.423913073,1.096651767,1.513010311,0.495757155,0.026510773,Chlamydomonas_Reinhardtii
