<<<<<<< HEAD
Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,contrast,dissimilarity,homogeneity,energy,correlation,Eccentricity,Convexity,FeretDiameter,Area,Perimeter,Solidity,Extent,AspectRatio,Circularity,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,Class
-0.339937586,-0.375544736,-0.185848214,-0.117789808,-0.029858928,-0.048359388,0.004461833,-0.415363423,-0.415363423,0.415363423,0.428991362,0.409451678,-0.431018201,-0.253410701,-0.603040788,-0.260132488,-0.538665171,-0.253410701,-0.249275091,-0.420606005,-0.229214396,0.403741559,0.287829266,-0.397777024,-0.414443889,-0.537261177,-0.495783651,-0.318588394,-0.395793672,-0.417732924,0.341036526,Chlamydomonas_Reinhardtii
-0.56889179,-0.406768395,-0.108685544,-0.009142178,-0.025812629,-0.00050197,0.004154398,1.73482214,1.73482214,-1.73482214,-1.757726831,-1.243644943,-0.38961708,-0.764365239,-0.750771804,-0.322453735,-0.741438327,-0.764365239,-0.631375925,0.058885786,-0.713531741,-1.69985877,0.531449071,2.405246119,1.705599069,1.534186446,1.818230284,1.387070618,1.246905942,0.789117135,1.595122098,Chlamydomonas_Reinhardtii
0.768701763,-0.354199303,-0.201336923,-0.149018163,-0.029871114,-0.050504705,0.004374481,0.723979885,0.723979885,-0.723979885,-1.32828244,0.820649434,-0.348215959,-0.579543199,-0.710715795,-0.354674955,-0.661959803,-0.579543199,-0.726298806,0.210191094,-0.740851577,-1.034937504,-2.391988593,0.11232087,-0.236279602,0.097858748,0.609285086,1.178013638,1.321794738,1.514861115,2.020783796,Chlamydomonas_Reinhardtii
0.400944111,-0.263391582,-0.127820034,-0.085737574,-0.029766526,-0.045334574,0.004777448,-0.480006319,-0.480006319,0.480006319,0.533566034,0.235262071,-0.306814838,-0.34529842,-0.639069713,-0.257125469,-0.635401339,-0.34529842,-0.493271591,0.586808033,-0.437749581,0.493927411,0.072771783,-0.578876868,-0.565715453,-0.310053003,-0.274769904,-0.490752966,-0.540023946,-0.571596094,0.788250715,Chlamydomonas_Reinhardtii
0.191596346,-0.331421276,-0.196327876,-0.15238514,-0.029881571,-0.051397037,0.00444386,-0.114219733,-0.114219733,0.114219733,0.018515132,0.52086515,-0.265413717,0.438894997,-0.465572749,0.206235788,-0.459136428,0.438894997,0.422188238,-0.531748281,0.405754502,0.187663621,-0.456471243,-0.34143485,-0.367381624,-0.300752084,-0.040495332,-0.03820609,-0.209958511,-0.210312662,1.015898902,Chlamydomonas_Reinhardtii
-0.669891933,-0.5009611,-0.227355443,-0.168582779,-0.029880139,-0.051584734,0.004520695,2.080205505,2.080205505,-2.080205505,-1.902547197,-1.893062891,-0.184427522,-0.229442805,-0.646361743,-0.315994661,-0.655782194,-0.229442805,-0.194153883,-0.189175556,-0.191085894,-1.834462688,0.506247023,2.94049677,2.309564795,1.619223424,2.213844892,1.779359894,1.201140566,0.724213201,1.263752549,Chlamydomonas_Reinhardtii
-0.632084132,-0.524607425,-0.209017007,-0.14737055,-0.029778083,-0.049347758,0.004500716,2.074712331,2.074712331,-2.074712331,-1.932476223,-1.808182729,-0.103441327,-0.21414724,-0.647390635,-0.344475549,-0.672655068,-0.21414724,-0.213983742,-0.126906776,-0.16014628,-1.845996661,-0.427908921,2.698024201,2.066409763,1.586005855,2.589568263,1.781819387,1.239971794,0.850843952,2.031560042,Chlamydomonas_Reinhardtii
-0.636824145,-0.477643858,-0.214294486,-0.152351218,-0.029860131,-0.050122663,0.004562048,2.094428904,2.094428904,-2.094428904,-1.863074025,-2.028053083,-0.153769278,-0.020169366,-0.675706121,-0.356421951,-0.708501056,-0.020169366,-0.109739738,-0.140083965,0.038912094,-1.804155334,-0.533757526,2.652749239,1.918499789,1.748107593,2.218265167,1.827320024,1.283656925,0.775954798,1.960167415,Chlamydomonas_Reinhardtii
-0.371780053,-0.391330528,-0.201757734,-0.136101308,-0.029818076,-0.046811671,0.00288019,2.121992871,2.121992871,-2.121992871,-1.984691192,-1.820887416,-0.032105594,-0.182239376,-0.662512192,-0.349245777,-0.693306513,-0.182239376,-0.217303879,-0.196801578,-0.160208085,-1.869432712,0.19710189,2.706073082,1.916258729,1.589991963,2.36413424,1.837158,1.399457194,0.799102355,1.564140393,Chlamydomonas_Reinhardtii
-0.604947974,-0.490417506,-0.206849006,-0.141564648,-0.029780354,-0.04765729,0.004528994,2.006538108,2.006538108,-2.006538108,-1.827497649,-1.861480868,0.08955809,-0.328975307,-0.655996722,-0.329146061,-0.652263161,-0.328975307,-0.327725411,-0.025555736,-0.315181478,-1.69715933,0.459203198,2.455551631,1.591304998,1.524885527,1.835911384,1.427652267,1.013571868,0.621183881,3.052609305,Chlamydomonas_Reinhardtii
-0.519878001,-0.444185617,-0.187326194,-0.119383532,-0.029632539,-0.043638461,0.004558482,2.358689849,2.358689849,-2.358689849,-2.13937889,-2.119190725,0.007386077,-0.186360074,-0.612071253,-0.300655592,-0.657521738,-0.186360074,-0.19259498,-0.135031035,-0.156216163,-2.24293711,-0.402706872,2.986777841,2.402568794,2.350009949,3.144312768,2.363489692,1.690691401,1.066887814,1.436172477,Chlamydomonas_Reinhardtii
-0.623596267,-0.457073738,-0.208566611,-0.149377553,-0.029847358,-0.049607016,0.004486746,2.326221262,2.326221262,-2.326221262,-2.127586837,-2.058145656,-0.074785936,-0.229487962,-0.68137215,-0.327124248,-0.686004536,-0.229487962,-0.241813422,-0.166179176,-0.203019668,-2.200604976,-0.164127476,3.140712708,2.528068166,1.946084306,3.164204006,2.165500434,1.566223448,0.90757816,1.993843183,Chlamydomonas_Reinhardtii
-0.735535019,-0.532732441,-0.217838299,-0.156054958,-0.029871441,-0.050725993,0.004510301,1.941110472,1.941110472,-1.941110472,-1.868318352,-1.579700435,-0.068661863,-0.096802754,-0.620838079,-0.320105465,-0.627272969,-0.096802754,-0.160310095,-0.133421705,-0.092922178,-2.094958692,-1.047879322,3.35300197,2.855262956,2.441690441,2.702285274,2.094175111,1.641112244,1.304263737,-0.746017241,Chlamydomonas_Reinhardtii
-0.620078017,-0.490597991,-0.204651992,-0.131031261,-0.029639116,-0.043979125,0.004557095,2.199583965,2.199583965,-2.199583965,-1.902033756,-2.234004324,-0.152266838,0.170989302,-0.701899825,-0.361859186,-0.772570836,0.170989302,-0.029179737,-0.0893968,0.143808558,-2.097167326,-0.485033565,3.481784082,2.864227197,2.389871033,3.042646445,2.181487144,1.421299759,0.793655871,0.762657132,Chlamydomonas_Reinhardtii
-0.33229888,-0.386599217,-0.141565459,-0.054619522,-0.029286712,-0.037144426,0.005987749,1.908641885,1.908641885,-1.908641885,-1.766076554,-1.726177748,0.119429089,-0.136948893,-0.665189348,-0.316932472,-0.720963069,-0.136948893,-0.207565763,0.125768189,-0.143448442,-1.624397139,-0.648006814,2.457563852,2.001419017,1.605936396,2.132069805,1.570302913,1.110996645,0.736013917,1.507565104,Chlamydomonas_Reinhardtii
-0.637857826,-0.37305577,-0.031903289,0.104763807,-0.01256255,0.037242837,0.004330947,2.342995064,2.342995064,-2.342995064,-2.096927328,-2.172045575,0.051804,-0.355194805,-0.664313175,-0.307966005,-0.652343048,-0.355194805,-0.32812974,-0.197987726,-0.344968,-2.21422488,-0.528717116,3.225225969,2.600902622,2.153361939,2.936559846,2.305691586,1.543687468,0.902131676,2.113728914,Chlamydomonas_Reinhardtii
-0.544603916,-0.500418566,-0.216149608,-0.153810758,-0.029866606,-0.050165764,0.004523154,1.889023404,1.889023404,-1.889023404,-1.722565107,-1.775246912,-0.205423141,0.221335949,-0.660370705,-0.308911712,-0.701994832,0.221335949,0.058601781,-0.237220918,0.222748661,-1.546849577,-0.57576094,2.328781741,1.691032178,1.429218927,1.851382346,1.565383925,1.092967861,0.681549077,1.731172198,Chlamydomonas_Reinhardtii
-0.513182929,-0.328185804,-0.206990382,-0.147230588,-0.029845013,-0.049317243,0.004427431,1.8696992,1.8696992,-1.8696992,-1.752120845,-1.646309628,-0.133386481,-0.347935239,-0.673194633,-0.279749429,-0.65196346,-0.347935239,-0.308363485,-0.045629341,-0.345905455,-1.540714485,-0.547198618,2.242256259,1.815411019,1.523556824,1.555223925,1.49897759,1.072512125,0.687903309,1.825464346,Chlamydomonas_Reinhardtii
-0.4930306,-0.485150709,-0.216497538,-0.160320348,-0.029876457,-0.051142852,0.004216422,1.536283108,1.536283108,-1.536283108,-1.473681299,-1.332142496,-0.061349821,-0.174560936,-0.647404024,-0.307883941,-0.673251658,-0.174560936,-0.195287599,-0.207337646,-0.153348925,-1.134571398,-0.552239028,1.159681636,0.921227996,0.754237918,1.367362239,1.085782617,0.768796451,0.527685907,2.897700776,Chlamydomonas_Reinhardtii
-0.347092266,-0.451388842,-0.208031377,-0.155028343,-0.02985892,-0.050747109,0.004531531,2.143671293,2.143671293,-2.143671293,-1.980162366,-1.891027577,0.071584962,-0.137471802,-0.637571073,-0.328403693,-0.705454768,-0.137471802,-0.247140138,0.152419328,-0.163136567,-1.866365166,-1.2259738,2.374056702,2.233368748,1.870348248,2.313301078,1.933078262,1.539180272,1.17309425,0.723593242,Chlamydomonas_Reinhardtii
-0.463848005,-0.503938844,-0.217922108,-0.158410685,-0.029876966,-0.051180187,0.004474811,2.015072147,2.015072147,-2.015072147,-1.91121042,-1.689965123,0.021406172,-0.601063554,-0.674059168,-0.281704917,-0.652097985,-0.601063554,-0.52287907,-0.033231329,-0.570211377,-1.658630953,-0.518636296,1.941429296,1.853509043,1.724190943,1.93536757,1.512504807,1.238931672,0.877168624,1.795829671,Chlamydomonas_Reinhardtii
-0.37008289,-0.447269866,-0.200967226,-0.143613707,-0.029860838,-0.050173489,0.004448531,1.843802804,1.843802804,-1.843802804,-1.702465583,-1.691181978,-0.028772619,-0.029809422,-0.683196029,-0.321858266,-0.71964766,-0.029809422,-0.154166584,-0.128430027,-0.037842135,-1.63912136,-0.634565721,2.197987409,1.993575306,1.690973374,1.948628395,1.519883288,1.138733236,0.748268505,1.952085231,Chlamydomonas_Reinhardtii
-0.243437147,-0.398256242,-0.194775832,-0.143923282,-0.029839807,-0.049135393,0.003767737,1.659290987,1.659290987,-1.659290987,-1.574098579,-1.456597572,-0.269650837,0.012778738,-0.649803194,-0.334778721,-0.65845135,0.012778738,-0.087673144,-0.199096316,0.028753015,-1.2414447,-0.842902658,1.658712317,1.354873146,1.102358045,1.400514301,1.197689589,0.906439285,0.643877564,1.739254382,Chlamydomonas_Reinhardtii
-0.558853325,-0.47240273,-0.207867855,-0.161070367,-0.029871028,-0.050761713,0.004344499,2.150537761,2.150537761,-2.150537761,-2.105752003,-1.636089851,-0.262148328,-0.413836758,-0.709803105,-0.277087605,-0.712869022,-0.413836758,-0.344578201,-0.059815359,-0.370846738,-2.204531435,0.150058066,2.723176957,2.448510528,2.081611989,2.689024449,2.121229544,1.773901175,1.299271127,0.671059045,Chlamydomonas_Reinhardtii
-0.408204526,-0.469533823,-0.214184678,-0.153948465,-0.029870766,-0.050526178,0.004535404,1.384534155,1.384534155,-1.384534155,-1.351937384,-1.167348398,-0.25464582,-0.152955149,-0.64192598,-0.308396077,-0.644249479,-0.152955149,-0.158194678,-0.314260551,-0.129355301,-0.931622556,-0.054918598,1.117425005,0.821500816,0.431363144,1.053522718,0.922226273,0.64675545,0.344774823,2.162222019,Chlamydomonas_Reinhardtii
-0.253762959,-0.424574131,-0.200592,-0.144556577,-0.029849363,-0.049647571,0.004784906,1.668609765,1.668609765,-1.668609765,-1.607905244,-1.400894676,0.012643529,-0.301238218,-0.623328997,-0.311014388,-0.660279119,-0.301238218,-0.27968524,-0.186465866,-0.245604881,-1.17739434,-0.676569136,1.412215307,1.186793631,0.966830362,1.206022204,1.303447826,0.884943427,0.5553722,1.921103525,Chlamydomonas_Reinhardtii
-0.368283291,-0.448619787,-0.205461072,-0.147327077,-0.02986852,-0.050095783,0.004433345,1.499400363,1.499400363,-1.499400363,-1.457741352,-1.257613117,-0.009974911,-0.39269869,-0.669240813,-0.21740668,-0.692330805,-0.39269869,-0.338826727,-0.045244245,-0.375331767,-1.066839983,-0.167487749,1.194895494,0.999665103,0.901723926,1.245804678,0.756210436,0.652996183,0.380176968,2.877495315,Chlamydomonas_Reinhardtii
-0.27022787,-0.416811506,-0.192775511,-0.127541766,-0.02972438,-0.046383826,0.00455633,1.520195954,1.520195954,-1.520195954,-1.503543591,-1.206767911,-0.131212616,-0.210246961,-0.626362876,-0.333166104,-0.639647216,-0.210246961,-0.24949358,-0.081752315,-0.180477374,-1.191136946,-0.715212277,1.397123653,1.239458545,1.116973776,1.334210177,1.098080086,0.861367324,0.586689483,2.053112533,Chlamydomonas_Reinhardtii
-0.343143981,-0.276393718,-0.184481021,-0.126787379,-0.029824241,-0.047565359,0.005105428,1.197962396,1.197962396,-1.197962396,-1.110176514,-1.216972139,-0.25245032,-0.18301004,-0.659463024,-0.332423958,-0.687342034,-0.18301004,-0.215339744,-0.108870079,-0.171637689,-0.821559006,-0.246454169,1.304561511,0.96492867,0.679830563,1.245804678,0.707020558,0.453639434,0.276693774,1.503524012,Chlamydomonas_Reinhardtii
-0.247379422,-0.39293877,-0.201038448,-0.138669971,-0.02984441,-0.048466181,0.004721747,1.134006147,1.134006147,-1.134006147,-1.138931388,-0.911784521,-0.373688024,-0.23667161,-0.658106097,-0.252719739,-0.714063964,-0.23667161,-0.2011959,-0.201816246,-0.211976129,-0.662782826,0.34495391,0.674736497,0.509993447,0.266604001,0.613705361,0.501652818,0.353787705,0.179564811,2.381788021,Chlamydomonas_Reinhardtii
-0.509050911,-0.47150773,-0.215537104,-0.150212742,-0.029866601,-0.050238043,0.004485765,1.444762892,1.444762892,-1.444762892,-1.36740736,-1.320661409,0.001135497,-0.27409275,-0.672876792,-0.343501783,-0.650397622,-0.27409275,-0.290250351,-0.192979548,-0.248506727,-0.977144938,-0.313659633,1.280414865,1.113959174,0.942913712,0.854610345,0.890252853,0.615898492,0.386077326,1.934573832,Chlamydomonas_Reinhardtii
-0.42937189,-0.465640301,-0.205490444,-0.147268266,-0.029864492,-0.049947388,0.004441873,1.371684049,1.371684049,-1.371684049,-1.32960003,-1.185062433,0.159342883,-0.441415674,-0.658491182,-0.324017266,-0.670127153,-0.441415674,-0.360837359,-0.215948813,-0.408293723,-0.866835985,-0.145645974,0.955441256,0.871924671,0.540316772,1.115406567,0.801711073,0.469241266,0.184557421,2.82900221,Chlamydomonas_Reinhardtii
0.227485075,-0.327701448,-0.189621478,-0.138557771,-0.029819326,-0.048536754,0.004557482,2.493566909,2.493566909,-2.493566909,-2.310411217,-2.106978569,0.317550268,-0.287517692,-0.63117161,-0.304287442,-0.670017873,-0.287517692,-0.362886974,0.12722431,-0.333763787,-2.491531036,-1.488075108,2.688969208,2.660290718,2.748620781,2.868045584,2.495072615,2.218033341,1.975089005,0.000237762,Chlamydomonas_Reinhardtii
-0.014488946,-0.345286822,-0.188186726,-0.128684561,-0.029829772,-0.04716707,0.004431881,1.743748549,1.743748549,-1.743748549,-1.706088231,-1.388020771,0.026140347,-0.546488919,-0.632867585,-0.254451908,-0.615142639,-0.546488919,-0.417159756,-0.105962804,-0.489803865,-1.357643341,-0.555599301,1.582247939,1.466926157,1.251172756,1.632578736,1.212446552,0.994502962,0.732382927,1.838934653,Chlamydomonas_Reinhardtii
-0.320525904,-0.398978156,-0.185308718,-0.125523052,-0.029819637,-0.047589918,0.004602678,1.710102854,1.710102854,-1.710102854,-1.649087283,-1.424708382,-0.265269574,0.15334568,-0.676300472,-0.329334736,-0.73187972,0.15334568,-0.015211218,-0.334116905,0.148656361,-1.798020242,0.027408095,2.671865334,2.473162191,1.815871434,2.266888191,1.833468759,1.296485099,0.911209149,0.194210181,Chlamydomonas_Reinhardtii
-0.053723376,-0.235757359,-0.161420843,-0.125792762,-0.02982058,-0.048082616,0.000721948,1.449078958,1.449078958,-1.449078958,-1.400505375,-1.24669167,-0.176434866,-0.200428137,-0.664122566,-0.307368507,-0.720686855,-0.200428137,-0.182306041,-0.022715468,-0.143523916,-0.970028231,-0.538797936,1.358891464,0.903299514,0.754237918,0.847979933,1.064876919,0.567359457,0.335243476,2.528614367,Chlamydomonas_Reinhardtii
-0.040271272,-0.35545595,-0.182675397,-0.123398234,-0.029826203,-0.047744488,0.004138867,1.377373409,1.377373409,-1.377373409,-1.317228993,-1.236961856,-0.03444678,0.015638994,-0.669758495,-0.302127688,-0.726450667,0.015638994,-0.066541108,-0.081872476,-0.002219998,-1.055796817,-1.066360824,1.603376254,1.376163218,1.231242214,1.524282,0.859509179,0.720950831,0.472313321,1.323021899,Chlamydomonas_Reinhardtii
-0.779178233,-0.523514608,-0.230047952,-0.16537646,-0.029880163,-0.051357766,0.004474819,1.790146258,1.790146258,-1.790146258,-1.604590071,-1.778164828,-0.362630323,0.033418301,-0.704796349,-0.35702255,-0.744460281,0.033418301,-0.050726747,-0.238222509,0.084971498,-1.460835588,0.072771783,2.045058651,1.462444036,1.067811773,1.656890248,1.512504807,0.885636842,0.397878041,3.111878655,Chlamydomonas_Reinhardtii
-0.495234687,-0.485286212,-0.177775031,-0.121990533,-0.029591813,-0.047499385,0.006132321,2.089916654,2.089916654,-2.089916654,-1.911310491,-1.899912283,-0.045645155,-0.484661962,-0.677048767,-0.272939462,-0.655524992,-0.484661962,-0.402924001,-0.120800281,-0.465260095,-1.691024238,1.104375648,2.349910056,1.436671844,1.354811572,1.756346435,1.491599109,1.132145796,0.618914513,2.492244538,Chlamydomonas_Reinhardtii
-0.514456091,-0.49299604,-0.210735,-0.14453408,-0.029835148,-0.04902944,0.004347004,1.943758967,1.943758967,-1.943758967,-1.822616011,-1.692759923,0.035204389,-0.463925095,-0.676043184,-0.361801022,-0.65113244,-0.463925095,-0.399987467,-0.12491511,-0.42820124,-1.694827995,0.538169618,2.445490529,1.796362007,1.261802378,1.915476333,1.706804824,1.125211648,0.5553722,2.404687543,Chlamydomonas_Reinhardtii
-0.602959398,-0.493361428,-0.223031859,-0.158065003,-0.029874346,-0.050950621,0.004514267,2.018505381,2.018505381,-2.018505381,-1.816979987,-1.921572099,-0.321676109,-0.101220668,-0.652929394,-0.315858304,-0.685845563,-0.101220668,-0.104753953,-0.386900532,-0.06439025,-1.514947099,0.262627217,2.093351943,1.547604324,1.085084909,1.73424506,1.561694684,0.989302351,0.498637993,2.566331226,Chlamydomonas_Reinhardtii
-0.762681528,-0.493174807,-0.227099513,-0.162253553,-0.029870558,-0.050228288,0.004471539,2.068532509,2.068532509,-2.068532509,-1.896992936,-1.873108779,-0.338515337,-0.289570092,-0.693346992,-0.350746592,-0.72478579,-0.289570092,-0.302862932,-0.172019296,-0.254875246,-1.819370362,0.274388173,2.616529271,1.965562053,1.753422404,2.13649008,1.805184579,1.200100444,0.63343847,2.287495873,Chlamydomonas_Reinhardtii
-0.645205776,-0.462946556,-0.214041397,-0.151714657,-0.029856266,-0.049839964,0.004468752,1.97034201,1.97034201,-1.97034201,-1.772329164,-1.891134797,-0.193445472,-0.079476146,-0.612377647,-0.32173256,-0.62479139,-0.079476146,-0.150390838,-0.303585406,-0.091818811,-1.889678516,0.047569734,2.978728959,2.617710574,2.055037934,2.898987509,1.903564335,1.239278379,0.810449197,0.416470245,Chlamydomonas_Reinhardtii
-0.605209235,-0.530553511,-0.221144188,-0.162957674,-0.029874187,-0.051336256,0.004654205,2.293262214,2.293262214,-2.293262214,-2.117689726,-1.991456392,-0.262204332,-0.23725354,-0.674652945,-0.330532044,-0.691685557,-0.23725354,-0.29065643,-0.061602301,-0.238650669,-2.074222082,-0.891626619,2.683938657,2.15044952,1.900908412,2.335402453,2.099094099,1.58321211,1.109098064,2.214756216,Chlamydomonas_Reinhardtii
-0.759341515,-0.540852796,-0.232544757,-0.171300109,-0.029880746,-0.051763545,0.004393391,1.94630937,1.94630937,-1.94630937,-1.693724174,-2.019619972,-0.330963191,0.182779346,-0.669720188,-0.337939119,-0.667528064,0.182779346,0.090043811,-0.082668935,0.237977739,-1.824401137,-0.044837778,3.252390946,2.717437753,2.108186045,2.616089912,1.886347878,1.169243487,0.72648257,-0.053643466,Chlamydomonas_Reinhardtii
-0.264056908,-0.455105046,-0.19273721,-0.137190881,-0.029847011,-0.049576763,0.004846428,2.406755129,2.406755129,-2.406755129,-2.232921378,-2.044021259,-0.075025323,-0.090984328,-0.627293412,-0.307246023,-0.681803185,-0.090984328,-0.172573002,-0.01622946,-0.078679282,-2.682209694,-1.336862815,3.698097784,3.675490993,3.168490858,3.787462773,2.921794805,2.245769933,1.862528338,-1.826335854,Chlamydomonas_Reinhardtii
-0.616198823,-0.479779351,-0.221788094,-0.164287425,-0.029877771,-0.051346196,0.004349692,1.975442815,1.975442815,-1.975442815,-1.84833514,-1.722940884,0.079077638,-0.753020956,-0.713886181,-0.297831427,-0.703299433,-0.753020956,-0.564670294,-0.090229084,-0.621292711,-1.673968682,0.116455334,2.511893805,1.782915646,1.426561522,1.992831145,1.652695958,1.050669559,0.496822498,2.7495274,Chlamydomonas_Reinhardtii
-0.679246266,-0.443301637,-0.210447264,-0.149160829,-0.029824452,-0.047595956,0.005239122,1.563847075,1.563847075,-1.563847075,-1.439395939,-1.509223215,0.162218867,-0.72321487,-0.785333045,-0.336492437,-0.756781341,-0.72321487,-0.623901002,-0.028345079,-0.654565759,-1.24083119,0.882597618,1.682858963,1.358234737,1.069140476,1.422615676,1.283771875,0.630460202,0.238568387,2.513797029,Chlamydomonas_Reinhardtii
-0.574497409,-0.46593092,-0.147787765,-0.061708838,-0.028900736,-0.034304147,0.00271274,1.944053244,1.944053244,-1.944053244,-1.775087056,-1.807514187,0.057404842,-0.670633686,-0.713477318,-0.295732288,-0.734112686,-0.670633686,-0.582699874,0.206247515,-0.629557857,-1.881825598,0.106374515,3.255409276,2.691665561,2.203852644,2.708915686,1.759683942,1.216742399,0.635253964,0.553867375,Chlamydomonas_Reinhardtii
-0.507896358,-0.499217107,-0.220310624,-0.161109424,-0.02988034,-0.051453128,0.004508373,1.937481053,1.937481053,-1.937481053,-1.832682983,-1.651266409,0.144048634,-0.38333035,-0.623105018,-0.326585074,-0.651167375,-0.38333035,-0.346795593,-0.006979884,-0.344417866,-1.613967483,-0.701771185,2.028960887,1.544242734,1.361455086,1.838121521,1.570302913,1.248292771,0.844489721,2.131240313,Chlamydomonas_Reinhardtii
-0.456453676,-0.27070349,-0.087698761,0.047353238,-0.022361346,0.04555912,0.013374615,1.650560762,1.650560762,-1.650560762,-1.58326655,-1.407170124,-0.093002523,-0.294198906,-0.655159283,-0.343197491,-0.65884512,-0.294198906,-0.258598449,-0.132660613,-0.262072389,-1.239726874,-0.527036979,1.467551371,1.066896909,0.784798082,1.433666364,1.11283705,0.842645125,0.449165764,3.289686706,Chlamydomonas_Reinhardtii
-0.421333846,-0.417749687,-0.197762203,-0.136998388,-0.029825773,-0.048420448,0.004654092,1.559432916,1.559432916,-1.559432916,-1.49325994,-1.354118052,-0.099532385,-0.203710768,-0.633582755,-0.345786748,-0.605140327,-0.203710768,-0.233868616,-0.216121336,-0.219202878,-1.135921118,-0.493434248,1.567156285,1.135249246,0.743608296,1.345260865,1.170635156,0.758048522,0.458697111,2.240349799,Chlamydomonas_Reinhardtii
