<<<<<<< HEAD
Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Eccentricity,Convexity,FeretDiameter,Area,Perimeter,Solidity,Extent,AspectRatio,Circularity,contrast,dissimilarity,homogeneity,energy,correlation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,Class
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,0.703008857,-0.740687533,-0.626048505,-0.780327995,0.703008857,0.447482448,-0.40224907,0.422533325,0.066712468,0.458604539,-1.426068078,-1.23212491,-0.274734822,1.254944178,1.920312082,1.949101382,1.282653689,0.733360615,1.423821795,3.180157879,-1.469833611,-1.904038273,-0.339287836,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,0.509598078,-0.622636594,-0.55518581,-0.622463113,0.509598078,0.457924271,-0.531932936,0.335057454,0.232057234,0.600302927,-1.478525343,-1.352131731,-0.258046963,0.986575122,1.865188139,1.785269221,1.487432956,0.966044089,1.693772457,3.364499253,-1.681166485,-1.953182076,-0.468071191,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,0.105658357,-0.764664508,-0.623405849,-0.78938263,0.105658357,-0.005217668,-0.095236125,-0.160925178,-0.259637978,0.064170957,-1.005240232,-0.811373404,-0.522199508,0.907571181,1.437388646,2.226492296,1.846190478,1.258085592,1.603341859,2.367516093,-1.500872283,-1.824317859,-0.647296377,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,0.305099943,-0.454341766,-0.558205223,-0.672869342,0.305099943,0.194768476,-0.165859208,-0.122774059,-0.310470883,-0.016651037,-0.989425855,-0.694421833,0.028130187,0.042192965,0.877668605,3.514674408,2.705081979,2.165924247,2.1252337,2.046308734,-1.865239307,-1.744597445,-1.459116724,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,0.799686509,-0.374807617,-0.36873206,-0.444298483,0.799686509,0.709800293,-0.74989959,0.610278876,1.619091536,2.065352994,-2.736145972,-2.69182353,-1.100554134,1.970052012,1.864245849,3.667860435,2.792113167,1.943755624,2.284636787,1.852130118,-2.591004438,-2.4623182,-0.913556469,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,0.946380548,-0.548886307,-0.403399116,-0.622306913,0.946380548,0.854318159,-0.804109533,0.728921817,1.601058586,2.108506887,-2.803730501,-2.670615942,-1.122753556,2.109734237,2.222787054,3.888471972,2.63301543,1.809097696,2.147458169,1.68960176,-2.429873243,-2.472826441,-0.877873169,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,1.03405067,-0.485941727,-0.352406902,-0.626499759,1.03405067,0.94672947,-0.822202374,0.85725518,1.968761455,2.325925955,-2.869410734,-2.756938132,-1.214667441,2.831765097,2.439513669,4.09015705,1.999774928,1.400544862,1.807002295,1.164378543,-2.114898194,-2.408354827,-0.628696584,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,1.063621512,-0.614430727,-0.37958671,-0.723635114,1.063621512,1.017685145,-0.916043898,0.997048639,1.820270351,2.22179042,-2.821150945,-2.684362143,-1.213036555,2.852941411,2.544578963,3.923959083,1.837132934,1.290986899,1.663692788,0.99115753,-2.02772001,-2.372326573,-0.483234066,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,0.934068686,-0.587709642,-0.406155425,-0.707918967,0.934068686,0.789051424,-0.482588245,0.693941632,1.416941447,1.88717001,-2.647394655,-2.677446308,-0.670570255,2.130910551,2.024435087,4.074187851,2.4179972,2.03754131,2.443465104,1.140426995,-2.439859599,-2.438615401,-1.019696596,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.148918421,1.036467751,-0.582803728,-0.410943968,-0.716095512,1.036467751,0.875302267,-0.774462836,0.821579553,1.571210281,2.109563665,-2.954136597,-2.85111628,-0.588920026,2.355298032,1.902408579,4.337975372,2.170293048,2.265306548,2.918800514,0.715287029,-2.787222828,-2.440432615,-1.184365422,Chlamydomonas_Reinhardtii
