<<<<<<< HEAD
Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,contrast,dissimilarity,homogeneity,energy,correlation,Eccentricity,Convexity,FeretDiameter,Area,Perimeter,Solidity,Extent,AspectRatio,Circularity,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,Class
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.375987481,-0.32499826,0.041886598,0.157264483,-0.492480945,-0.25293182,0.458722063,-0.520887612,-0.551675146,-0.482715007,0.458722063,0.3792543,-0.475726916,0.343628353,0.660709234,0.873409047,-0.147322305,-0.401289272,-0.504206242,-0.384830328,0.258496897,0.470808532,-0.277244068,0.522068951,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,-0.042424126,0.002202236,-0.291694442,-0.121029915,-0.652673733,-0.277526994,0.459648698,-0.301772218,-0.498322702,-0.303425293,0.459648698,0.506367683,-0.257678222,0.267496041,0.859118765,1.067365389,0.008803027,-0.23119603,-0.294472795,-0.076065386,0.479898726,-0.072118354,-0.619473965,0.930242834,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,0.23261691,0.204317669,-0.429745388,-0.365560597,-0.695898948,-0.302122167,0.662390047,-0.224403609,-0.440384189,-0.187079049,0.662390047,0.779092786,-0.818722757,0.643226155,0.572823133,1.056629798,0.23722801,0.132674324,-0.007762711,-0.059124301,0.326945554,-0.117362261,-0.530869238,0.286297279,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,0.496366871,1.023008805,-2.070163636,-1.852317586,0.55341924,-0.326717341,0.7361352,-0.036064172,-0.35843731,-0.153530036,0.7361352,1.207915239,-1.085721686,0.804052289,1.710016016,2.609711942,2.543482076,1.874515245,2.180307505,4.368510317,2.503781861,-2.422697158,-2.786773708,-2.625902225,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,0.76514782,1.280346534,-2.318860132,-2.12260169,0.527056332,-0.351312514,0.704381633,0.072167417,-0.322759194,-0.064691888,0.704381633,1.251360198,-1.00923133,0.834070835,1.78258863,2.608996236,3.515859984,2.825458476,2.515360405,5.052165082,2.339843102,-2.919327952,-3.006019619,-3.544759413,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,0.357601565,0.555621827,-1.204107436,-1.004700972,-0.601681455,-0.375907688,0.775450415,-0.354915186,-0.410008809,-0.416914206,0.775450415,0.972794843,-0.860752015,0.826932714,1.975671731,1.807405452,1.600443158,0.584820916,0.55673263,1.280860898,1.602963731,-1.131667528,-1.861034024,0.227121385,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,0.592794436,1.058285137,-2.008580952,-1.771645244,0.44167075,-0.400502862,0.720179543,0.03155309,-0.358878471,-0.094863735,0.720179543,1.161076201,-0.867753523,0.784976692,1.755290675,2.593250703,1.73665989,2.022360004,2.095893511,3.861370731,2.164918756,-2.362196584,-2.605501251,-2.253140689,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,0.770120294,1.287901823,-2.338037408,-2.014890988,0.487512107,-0.425098035,0.651191361,0.038293735,-0.36613765,-0.144444977,0.651191361,1.073356524,-0.562294792,0.619310833,1.545562479,2.533131394,2.758285386,2.483836606,2.860453736,5.485528974,2.693071974,-3.231826567,-3.02274044,-3.440852135,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,0.854812421,1.495777592,-2.623278105,-2.351644935,0.770111969,-0.449693209,0.723392996,0.110781126,-0.360658855,-0.062949618,0.723392996,1.290392214,-0.996145767,0.798501433,1.542899264,3.193728085,2.911267255,3.037895605,3.151998102,6.240773486,3.268547722,-3.902067703,-3.324809111,-4.129063121,Chlamydomonas_Reinhardtii
0,0,3.42E-49,-6.84E-49,-4.22E-81,0,0,1.760753685,2.408551157,-3.374120801,-2.866835572,0.341959559,-0.474288382,0.622678298,0.408287651,-0.168126671,0.364879487,0.622678298,1.390118832,-1.191830945,0.637280909,2.373156597,3.704026504,3.315726169,3.2539212,2.950817615,6.100326424,2.738704413,-3.973090115,-3.525771507,-4.036338689,Chlamydomonas_Reinhardtii
