<<<<<<< HEAD
Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Eccentricity,Convexity,FeretDiameter,Area,Perimeter,Solidity,Extent,AspectRatio,Circularity,contrast,dissimilarity,homogeneity,energy,correlation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,Class
-0.304334902,-0.513328882,-0.231920523,-0.147025922,-0.039106123,-0.081033336,0.027407175,0.36930629,-0.454092648,-0.481861978,-0.204765527,-0.485645544,-0.454092648,-0.443803846,0.702145368,-0.457091099,0.066712468,0.458604539,-1.426068078,-1.23212491,-0.274734822,1.254944178,1.920312082,1.949101382,1.282653689,0.733360615,1.423821795,3.180157879,-1.469833611,-1.904038273,-0.339287836,Chlamydomonas_Reinhardtii
-0.337190984,-0.449177532,-0.321130584,-0.268212195,-0.040664247,-0.106228208,0.025913047,0.26625598,-0.30144826,-0.464802717,-0.104446185,-0.514763436,-0.30144826,-0.252233449,0.810043308,-0.293309808,0.232057234,0.600302927,-1.478525343,-1.352131731,-0.258046963,0.986575122,1.865188139,1.785269221,1.487432956,0.966044089,1.693772457,3.364499253,-1.681166485,-1.953182076,-0.468071191,Chlamydomonas_Reinhardtii
-0.381580159,-0.536404633,-0.281813583,-0.234585926,-0.040553136,-0.103080666,0.010863787,0.40675708,-0.511507468,-0.628711435,-0.214459978,-0.605914914,-0.511507468,-0.565612353,0.242886484,-0.577404301,-0.259637978,0.064170957,-1.005240232,-0.811373404,-0.522199508,0.907571181,1.437388646,2.226492296,1.846190478,1.258085592,1.603341859,2.367516093,-1.500872283,-1.824317859,-0.647296377,Chlamydomonas_Reinhardtii
-0.151674712,-0.441155996,-0.18335252,-0.094044613,-0.036786981,-0.069441941,0.023492917,0.139206837,-0.732842333,-0.524774145,-0.198693332,-0.441185128,-0.732842333,-0.648336002,0.017557505,-0.689221328,-0.310470883,-0.016651037,-0.989425855,-0.694421833,0.028130187,0.042192965,0.877668605,3.514674408,2.705081979,2.165924247,2.1252337,2.046308734,-1.865239307,-1.744597445,-1.459116724,Chlamydomonas_Reinhardtii
-0.205586086,-0.55146378,-0.313788398,-0.272725515,-0.04067185,-0.107468467,0.026593932,-0.128343406,-0.477705443,-0.51357438,-0.364392431,-0.513006185,-0.477705443,-0.344613692,0.076347542,-0.399782467,1.619091536,2.065352994,-2.736145972,-2.69182353,-1.100554134,1.970052012,1.864245849,3.667860435,2.792113167,1.943755624,2.284636787,1.852130118,-2.591004438,-2.4623182,-0.913556469,Chlamydomonas_Reinhardtii
-0.213648079,-0.563533201,-0.329356295,-0.26459836,-0.040651028,-0.10620285,0.027887117,-0.139305779,-0.365417729,-0.529097655,-0.482517494,-0.533498813,-0.365417729,-0.310706946,-0.318992456,-0.316493812,1.601058586,2.108506887,-2.803730501,-2.670615942,-1.122753556,2.109734237,2.222787054,3.888471972,2.63301543,1.809097696,2.147458169,1.68960176,-2.429873243,-2.472826441,-0.877873169,Chlamydomonas_Reinhardtii
-0.209601098,-0.504686968,-0.278689995,-0.206656974,-0.040218476,-0.09002168,0.027472509,-0.28835371,0.025913219,-0.504098108,-0.395295128,-0.523341659,0.025913219,-0.024760569,-0.340129727,0.025003761,1.968761455,2.325925955,-2.869410734,-2.756938132,-1.214667441,2.831765097,2.439513669,4.09015705,1.999774928,1.400544862,1.807002295,1.164378543,-2.114898194,-2.408354827,-0.628696584,Chlamydomonas_Reinhardtii
-0.292242926,-0.553377615,-0.327788477,-0.258809634,-0.040617541,-0.103542285,0.028064059,-0.417224149,-0.069921457,-0.52096834,-0.466128095,-0.487071984,-0.069921457,-0.072818375,-0.539452317,-0.018586308,1.820270351,2.22179042,-2.821150945,-2.684362143,-1.213036555,2.852941411,2.544578963,3.923959083,1.837132934,1.290986899,1.663692788,0.99115753,-2.02772001,-2.372326573,-0.483234066,Chlamydomonas_Reinhardtii
-0.159755215,-0.457103513,-0.29928776,-0.222580493,-0.040242128,-0.096346698,0.0313481,-0.223026536,-0.065947172,-0.542809945,-0.501597879,-0.540778503,-0.065947172,-0.140879282,-0.225967332,-0.06200984,1.416941447,1.88717001,-2.647394655,-2.677446308,-0.670570255,2.130910551,2.024435087,4.074187851,2.4179972,2.03754131,2.443465104,1.140426995,-2.439859599,-2.438615401,-1.019696596,Chlamydomonas_Reinhardtii
0.070683103,-0.422081748,-0.093560705,0.023200952,-0.025351976,0.029566617,0.023289685,-0.318774417,0.010210348,-0.598425644,-0.53990175,-0.59504153,0.010210348,-0.165391771,-0.149399873,-0.060001498,1.571210281,2.109563665,-2.954136597,-2.85111628,-0.588920026,2.355298032,1.902408579,4.337975372,2.170293048,2.265306548,2.918800514,0.715287029,-2.787222828,-2.440432615,-1.184365422,Chlamydomonas_Reinhardtii
