<<<<<<< HEAD
Eccentricity,Convexity,FeretDiameter,Area,Perimeter,Solidity,Extent,AspectRatio,Circularity,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,contrast,dissimilarity,homogeneity,energy,correlation,Class
-0.004973588,0.260207713,-0.392924835,-0.022805916,-0.323154141,0.260207713,0.274206901,-0.459377901,0.19307796,-0.222433466,-0.429515532,-0.255993493,-0.180333213,-0.022707975,-0.053301728,0.022729162,0.660709234,0.873409047,-0.147322305,-0.401289272,-0.504206242,-0.384830328,0.258496897,0.470808532,-0.277244068,0.522068951,-0.375987481,-0.32499826,0.041886598,0.157264483,-0.492480945,Chlamydomonas_Reinhardtii
0.043889179,0.277996974,-0.418540354,-0.004548466,-0.329857285,0.277996974,0.355146664,-0.351227826,0.15537936,0.012542756,-0.336073828,-0.245046101,-0.172324007,-0.022708099,-0.053035957,0.022657551,0.859118765,1.067365389,0.008803027,-0.23119603,-0.294472795,-0.076065386,0.479898726,-0.072118354,-0.619473965,0.930242834,-0.042424126,0.002202236,-0.291694442,-0.121029915,-0.652673733,Chlamydomonas_Reinhardtii
-0.229868233,0.229677264,-0.397499751,-0.028686758,-0.337975725,0.229677264,0.363277114,-0.179235459,0.229785317,-0.076582182,-0.458755262,-0.233713976,-0.17985889,-0.022707999,-0.053525371,0.02266133,0.572823133,1.056629798,0.23722801,0.132674324,-0.007762711,-0.059124301,0.326945554,-0.117362261,-0.530869238,0.286297279,0.23261691,0.204317669,-0.429745388,-0.365560597,-0.695898948,Chlamydomonas_Reinhardtii
-0.503625645,0.75820315,-0.502827014,-0.180987419,-0.559316713,0.75820315,0.737062416,-0.492337813,0.741173275,0.792548607,-0.33218784,-0.22544591,-0.159902241,-0.022707141,-0.052679707,0.022722772,1.710016016,2.609711942,2.543482076,1.874515245,2.180307505,4.368510317,2.503781861,-2.422697158,-2.786773708,-2.625902225,0.496366871,1.023008805,-2.070163636,-1.852317586,0.55341924,Chlamydomonas_Reinhardtii
-0.824233721,1.040371538,-0.510325637,-0.166809094,-0.570551953,1.040371538,1.026350999,-0.512561489,1.087915486,0.66165825,-0.313044713,-0.226701389,-0.157823207,-0.022700251,-0.051551337,0.022731372,1.78258863,2.608996236,3.515859984,2.825458476,2.515360405,5.052165082,2.339843102,-2.919327952,-3.006019619,-3.544759413,0.76514782,1.280346534,-2.318860132,-2.12260169,0.527056332,Chlamydomonas_Reinhardtii
-0.105297771,0.02269662,-0.499859602,-0.210446886,-0.52955045,0.02269662,0.017271421,0.021481594,-0.013951394,0.041645645,-0.391354772,-0.244885877,-0.176624134,-0.022708359,-0.053292923,0.022742983,1.975671731,1.807405452,1.600443158,0.584820916,0.55673263,1.280860898,1.602963731,-1.131667528,-1.861034024,0.227121385,0.357601565,0.555621827,-1.204107436,-1.004700972,-0.601681455,Chlamydomonas_Reinhardtii
-0.159778295,0.737626433,-0.503754249,-0.151227603,-0.565332178,0.737626433,0.761691295,-0.550755163,0.702011229,0.769517431,-0.310760717,-0.226777655,-0.166996964,-0.02270823,-0.053268614,0.022717612,1.755290675,2.593250703,1.73665989,2.022360004,2.095893511,3.861370731,2.164918756,-2.362196584,-2.605501251,-2.253140689,0.592794436,1.058285137,-2.008580952,-1.771645244,0.44167075,Chlamydomonas_Reinhardtii
-0.214258819,0.418499599,-0.480169603,-0.196387479,-0.524821111,0.418499599,0.42082132,-0.39803393,0.380869262,0.892156159,-0.226327079,-0.199670997,-0.145228826,-0.022704975,-0.052113003,0.022776908,1.545562479,2.533131394,2.758285386,2.483836606,2.860453736,5.485528974,2.693071974,-3.231826567,-3.02274044,-3.440852135,0.770120294,1.287901823,-2.338037408,-2.014890988,0.487512107,Chlamydomonas_Reinhardtii
-0.557977204,0.758128487,-0.488768204,-0.175138385,-0.568861806,0.758128487,0.802594307,-0.59673346,0.780186783,1.040702472,-0.265601532,-0.21674882,-0.150881362,-0.022703595,-0.051341144,0.022743659,1.542899264,3.193728085,2.911267255,3.037895605,3.151998102,6.240773486,3.268547722,-3.902067703,-3.324809111,-4.129063121,0.854812421,1.495777592,-2.623278105,-2.351644935,0.770111969,Chlamydomonas_Reinhardtii
-0.311276874,0.540316384,-0.451981714,-0.188630406,-0.4483699,0.540316384,0.591257743,-0.428777551,0.546642841,0.816945879,-0.308155187,-0.230243389,-0.168934935,-0.022708151,-0.053143555,0.022732592,2.373156597,3.704026504,3.315726169,3.2539212,2.950817615,6.100326424,2.738704413,-3.973090115,-3.525771507,-4.036338689,1.760753685,2.408551157,-3.374120801,-2.866835572,0.341959559,Chlamydomonas_Reinhardtii
0.225376951,-0.124670115,-0.509686033,-0.324192187,-0.543046969,-0.124670115,-0.169574382,0.040667326,-0.193087046,-0.072596479,-0.38937934,-0.239542007,-0.155031936,-0.022699505,-0.051243769,0.022761883,1.919078408,1.594840753,1.148832298,0.003489583,-0.071352107,0.441457445,0.953969056,-0.355155819,-1.459890579,0.960063757,-0.131647544,0.120522644,-0.827356754,-0.666810153,-0.510141859,Chlamydomonas_Reinhardtii
0.057622204,0.178727596,-0.493405474,-0.215630607,-0.523843448,0.178727596,0.20826535,-0.21313814,0.117226261,0.60383227,-0.224811191,-0.210300023,-0.119860449,-0.022663348,-0.045129719,0.022694934,2.759988602,3.148638603,2.393643671,1.708010468,1.403475642,3.323081407,1.886898901,-2.54790704,-2.833341977,-1.082203512,1.494011166,1.984820013,-2.705199513,-2.324452626,-0.112067284,Chlamydomonas_Reinhardtii
0.235718022,0.03739707,-0.49887332,-0.20347767,-0.508093004,0.03739707,0.014598469,-0.157523866,-0.101402904,0.049689449,-0.378645007,-0.237269868,-0.163147513,-0.022704448,-0.052557942,0.022814702,2.358508914,2.170268423,1.07967611,-0.022347365,-0.104076475,0.387901756,1.043543841,-0.2388895,-1.633193298,0.7764787,0.229710214,0.472049644,-1.181707138,-0.991794818,-1.093778853,Chlamydomonas_Reinhardtii
-0.694117894,-0.295260094,-0.555277245,-0.35328366,-0.640596742,-0.295260094,-0.252139245,-0.183597439,-0.13240691,-0.543751184,-0.356136597,-0.266185185,-0.190892288,-0.022708912,-0.053753854,0.022723038,-0.154900416,-0.548698889,-0.474242463,-0.671859534,-0.668943684,-0.549869288,-0.329654527,0.485539106,0.511759926,0.64554621,-0.754262082,-0.762490714,0.697327441,0.627127436,0.671315487,Chlamydomonas_Reinhardtii
0.124789121,0.071198896,-0.573156223,-0.311541761,-0.659457803,0.071198896,0.001712553,0.093605389,0.017528098,-0.728331218,-0.489317945,-0.254370427,-0.173142005,-0.022707696,-0.052864595,0.022738605,-0.370620845,-0.543688947,-0.449094759,-0.679036464,-0.72063331,-0.467896295,-0.413313997,0.39978612,0.476599321,1.008522756,-0.749799904,-0.765009144,0.672846984,0.731618054,-1.23095741,Chlamydomonas_Reinhardtii
0.58834924,-0.250126122,-0.705745982,-0.338647694,-0.735284263,-0.250126122,-0.439735905,-0.232467766,-0.345715755,0.517578238,-0.398960905,-0.246590748,-0.167488814,-0.022707121,-0.052647158,0.022711831,1.446357713,0.698776769,0.342010112,-0.567076356,-0.66968742,-0.584844432,-0.391342823,-0.31464674,-0.235832688,1.284366294,0.20109249,0.460913606,-0.694180606,-0.285073212,-2.415962616,Chlamydomonas_Reinhardtii
-0.062690585,-0.051842166,-0.605861534,-0.227895027,-0.660568084,-0.051842166,-0.043802601,-0.596012741,0.052382193,-0.660822904,-0.44130089,-0.23588003,-0.148038405,-0.022703176,-0.050990621,0.022803641,-0.485804902,-0.668937507,-0.50148581,-0.735734212,-0.770835465,-0.619273089,-0.366836514,0.501847957,0.555515347,1.071426266,-0.805775936,-0.82492335,0.778486645,0.830208246,-0.832934851,Chlamydomonas_Reinhardtii
-0.690522955,0.405525937,-0.601113951,-0.230292763,-0.662114663,0.405525937,0.175377845,-0.168598831,0.264511485,-0.70251603,-0.491787494,-0.268411532,-0.192213477,-0.022708978,-0.05383852,0.022723341,-0.436535421,-0.237366754,-0.434425265,-0.678318771,-0.623947678,-0.552601721,-0.326274347,0.443451751,0.419092196,0.884113594,-0.77847381,-0.765112934,0.621684261,0.558912085,0.68336293,Chlamydomonas_Reinhardtii
0.241698449,-0.062630405,-0.514224859,0.037534352,-0.564891982,-0.062630405,-0.193587858,0.228083317,-0.180500026,-0.682221042,-0.493325094,-0.254340477,-0.184498206,-0.022708778,-0.053870174,0.022860413,-0.16089265,-0.758400764,-0.51196402,-0.714203421,-0.733276816,-0.532928203,-0.39894823,0.626531747,0.437531981,1.031354401,-0.715553762,-0.748173823,0.718038826,0.762883156,-1.457464651,Chlamydomonas_Reinhardtii
-0.75625841,0.445279023,-0.561814575,0.001568311,-0.692226103,0.445279023,0.539641663,0.087085294,0.500975713,-0.829322873,-0.556503157,-0.274746698,-0.197687856,-0.022709045,-0.053990289,0.022721287,-0.169548099,-0.473549753,-0.684854489,-0.808938898,-0.835912332,-0.624737956,-0.326274347,0.644944965,0.383619052,1.301606515,-0.781289768,-0.781679622,0.651854544,0.717195825,-0.89693436,Chlamydomonas_Reinhardtii
-0.542850595,-0.444003318,-0.43853575,-0.194013172,-0.583696074,-0.444003318,-0.260654629,0.122498101,-0.356480468,-0.310587378,-0.411628281,-0.242994522,-0.162870151,-0.022706141,-0.052132805,0.022578045,-0.307369485,-0.35975249,-0.517203125,-0.627362568,-0.683074661,-0.546043882,-0.34486534,0.086761413,0.420498621,1.267592024,-0.649181741,-0.686278451,0.632991264,0.726750882,-1.743380416,Chlamydomonas_Reinhardtii
-0.250771613,-0.805854794,-0.656077938,-0.27800771,-0.735955254,-0.805854794,-0.571859752,1.040108712,-0.555339018,-0.98131837,-0.557773031,-0.276503585,-0.198390531,-0.022709038,-0.053971366,0.022721501,-0.278739922,-0.61382814,-0.697428341,-0.80463274,-0.857480665,-0.659166613,-0.357541017,0.39189474,0.510666041,1.391069283,-0.792239196,-0.808432978,0.724371363,0.80137556,-1.305536945,Chlamydomonas_Reinhardtii
-1.167344456,-0.159015267,-0.488343875,-0.147136994,-0.363244766,-0.159015267,-0.009763641,-0.96720881,-0.143787569,-0.614360093,-0.450755099,-0.240269395,-0.162132918,-0.022705192,-0.051556286,0.022758607,-0.288726979,-0.479991107,-0.488911958,-0.635257191,-0.681959057,-0.505057385,-0.404018501,0.612327265,0.448783375,0.771819181,-0.713053903,-0.729897654,0.640651627,0.680751666,-0.807777289,Chlamydomonas_Reinhardtii
-0.290960126,-0.825679658,-0.56428596,-0.419378226,-0.523928026,-0.825679658,-0.625167103,-0.610271424,-0.624797474,-0.791828061,-0.52455277,-0.268130713,-0.191055944,-0.022708887,-0.053799604,0.022720131,-0.40657425,-0.389096438,-0.618841764,-0.6445872,-0.658903253,-0.484290893,-0.284867135,0.595492323,0.31829846,1.150638092,-0.77822693,-0.757380591,0.636174492,0.741964313,-0.209060884,Chlamydomonas_Reinhardtii
0.182828091,-0.631650597,-0.571265983,-0.309796642,-0.621496869,-0.631650597,-0.398330843,0.713300969,-0.513832571,-0.595103829,-0.510966566,-0.244698428,-0.171254235,-0.022706183,-0.053211067,0.022117159,-0.25210777,-0.356889666,-0.41975577,-0.650328744,-0.702039919,-0.629656335,-0.387117598,0.67598439,0.438938405,0.74013445,-0.703986762,-0.710198955,0.601474595,0.661008447,-1.230312318,Chlamydomonas_Reinhardtii
-0.502796132,-0.562799442,-0.520642552,-0.319856196,-0.520953592,-0.562799442,-0.460073948,-0.11116956,-0.540990975,-0.581122517,-0.451526425,-0.25706039,-0.173997574,-0.022706382,-0.05273109,0.022722554,-0.191519624,-0.398400617,-0.596837523,-0.878555119,-0.804303568,-0.442211424,-0.446270758,0.681771401,0.450502338,0.913002613,-0.721346696,-0.753946369,0.686969837,0.780025965,-1.864333461,Chlamydomonas_Reinhardtii
